mes,descripcion,ventas_hl
2026-01,item18,48.6
2026-01,item17,35.86
2026-01,item15,17.36
2026-01,item11,43.13
2026-01,item19,5.78
2026-01,item8,0.08
2026-01,item13,72.07
2026-01,item3,34.45
2026-01,item5,53.6
2026-01,item13,75.62
2026-01,item10,43.11
2026-01,item5,59.91
2026-01,item11,14.37
2026-01,item6,48.45
2026-01,item3,26.56
2026-01,item4,76.15
2026-01,item20,87.18
2026-01,item15,80.21
2026-01,item19,43.84
2026-01,item11,6.1
2026-01,item9,48.13
2026-01,item12,98.23
2026-01,item11,7.91
2026-01,item3,29.78
2026-01,item11,8.18
2026-01,item15,66.52
2026-01,item14,0.76
2026-01,item8,12.51
2026-01,item12,16.32
2026-01,item9,68.14
2026-01,item13,10.78
2026-01,item20,53.28
2026-01,item14,21.75
2026-01,item7,47.57
2026-01,item6,43.36
2026-01,item6,69.31
2026-01,item11,37.39
2026-01,item10,45.2
2026-01,item4,68.36
2026-01,item13,15.8
2026-01,item11,83.91
2026-01,item1,93.77
2026-01,item11,52.55
2026-01,item13,69.03
2026-01,item20,12.33
2026-01,item5,7.0
2026-01,item16,89.84
2026-01,item15,33.05
2026-01,item7,59.79
2026-01,item11,14.8
2026-01,item15,37.04
2026-01,item6,42.19
2026-01,item16,13.77
2026-01,item5,74.41
2026-01,item4,95.47
2026-01,item19,99.98
2026-01,item12,20.65
2026-01,item12,8.58
2026-01,item8,17.43
2026-01,item13,28.55
2026-01,item20,93.59
2026-01,item13,10.53
2026-01,item15,71.05
2026-01,item20,68.04
2026-01,item17,14.75
2026-01,item9,6.31
2026-01,item6,23.74
2026-01,item18,50.24
2026-01,item5,20.99
2026-01,item20,85.06
2026-01,item10,9.12
2026-01,item3,34.5
2026-01,item18,76.03
2026-01,item2,15.35
2026-01,item18,78.62
2026-01,item19,19.4
2026-01,item8,45.52
2026-01,item2,34.05
2026-01,item3,46.0
2026-01,item3,6.67
2026-01,item11,24.18
2026-01,item3,66.4
2026-01,item18,2.88
2026-01,item17,53.18
2026-01,item12,2.95
2026-01,item11,96.61
2026-01,item12,30.44
2026-01,item3,25.45
2026-01,item13,10.1
2026-01,item11,22.01
2026-01,item8,30.59
2026-01,item16,40.57
2026-01,item5,74.26
2026-01,item3,2.23
2026-01,item10,58.94
2026-01,item15,21.48
2026-01,item9,75.02
2026-01,item3,93.22
2026-01,item5,44.49
2026-01,item13,62.69
2026-01,item9,51.93
2026-01,item1,93.52
2026-01,item2,15.06
2026-01,item13,16.41
2026-01,item17,34.94
2026-01,item2,14.14
2026-01,item14,0.58
2026-01,item19,65.32
2026-01,item18,39.99
2026-01,item19,86.0
2026-01,item13,60.23
2026-01,item7,66.89
2026-01,item1,16.77
2026-01,item15,2.55
2026-01,item9,46.22
2026-01,item18,62.49
2026-01,item15,40.78
2026-01,item16,90.93
2026-01,item15,33.02
2026-01,item10,8.13
2026-01,item5,52.36
2026-01,item20,93.16
2026-01,item13,98.92
2026-01,item5,28.47
2026-01,item5,28.53
2026-01,item19,4.49
2026-01,item13,53.67
2026-01,item18,61.1
2026-01,item2,55.35
2026-01,item17,91.24
2026-01,item16,46.72
2026-01,item4,57.42
2026-01,item4,43.59
2026-01,item19,88.54
2026-01,item11,64.04
2026-01,item15,56.8
2026-01,item9,58.07
2026-01,item14,8.76
2026-01,item8,37.0
2026-01,item3,33.33
2026-01,item17,11.44
2026-01,item17,32.81
2026-01,item2,40.92
2026-01,item17,3.6
2026-01,item20,41.47
2026-01,item7,67.24
2026-01,item6,55.88
2026-01,item20,52.46
2026-01,item4,56.6
2026-01,item18,26.33
2026-01,item18,22.35
2026-01,item11,6.13
2026-01,item13,31.95
2026-01,item13,89.12
2026-01,item1,47.11
2026-01,item6,49.68
2026-01,item8,74.93
2026-01,item7,77.17
2026-01,item12,44.49
2026-01,item1,81.88
2026-01,item14,15.44
2026-01,item16,33.56
2026-01,item11,33.95
2026-01,item5,77.51
2026-01,item2,57.71
2026-01,item12,71.72
2026-01,item2,29.76
2026-01,item18,29.83
2026-01,item10,37.81
2026-01,item10,21.14
2026-01,item2,16.97
2026-01,item5,56.35
2026-01,item18,40.05
2026-01,item15,11.93
2026-01,item2,43.95
2026-01,item5,35.18
2026-01,item14,5.38
2026-01,item15,29.03
2026-01,item12,22.24
2026-01,item6,48.95
2026-01,item17,12.88
2026-01,item9,12.45
2026-01,item8,69.53
2026-01,item7,72.03
2026-01,item11,28.04
2026-01,item18,35.77
2026-01,item12,66.98
2026-01,item3,45.97
2026-01,item17,80.24
2026-01,item16,20.5
2026-01,item1,17.61
2026-01,item1,14.45
2026-01,item8,66.29
2026-01,item20,32.32
2026-01,item12,95.36
2026-01,item13,38.31
2026-01,item17,99.09
2026-01,item11,74.19
2026-01,item4,49.62
2026-01,item10,15.51
2026-01,item17,80.76
2026-01,item8,4.84
2026-01,item3,48.53
2026-01,item5,28.19
2026-01,item5,37.77
2026-01,item2,60.95
2026-01,item14,12.77
2026-01,item4,33.5
2026-01,item18,29.14
2026-01,item5,46.87
2026-01,item1,73.51
2026-01,item3,80.7
2026-01,item3,47.71
2026-01,item15,47.06
2026-01,item6,67.53
2026-01,item14,72.98
2026-01,item12,73.73
2026-01,item14,38.12
2026-01,item19,40.46
2026-01,item20,86.19
2026-01,item14,4.33
2026-01,item9,55.14
2026-01,item4,97.66
2026-01,item15,23.0
2026-01,item2,74.1
2026-01,item8,64.03
2026-01,item7,15.7
2026-01,item12,88.31
2026-01,item1,82.11
2026-01,item4,95.52
2026-01,item12,33.49
2026-01,item5,31.04
2026-01,item5,31.33
2026-01,item10,66.8
2026-01,item16,75.92
2026-01,item20,21.93
2026-01,item10,33.92
2026-01,item7,94.24
2026-01,item12,12.57
2026-01,item9,28.68
2026-01,item18,55.12
2026-01,item7,80.48
2026-01,item11,83.24
2026-01,item6,87.67
2026-01,item13,67.52
2026-01,item14,41.94
2026-01,item6,15.17
2026-01,item18,5.42
2026-01,item11,11.74
2026-01,item1,44.12
2026-01,item11,28.18
2026-01,item10,30.44
2026-01,item6,25.91
2026-01,item1,45.5
2026-01,item12,37.16
2026-01,item11,23.4
2026-01,item5,23.71
2026-01,item15,67.3
2026-01,item6,57.63
2026-01,item18,40.89
2026-01,item12,85.95
2026-01,item12,97.11
2026-01,item20,43.71
2026-01,item15,18.96
2026-01,item18,60.72
2026-01,item9,86.49
2026-01,item19,67.37
2026-01,item8,82.08
2026-01,item5,39.2
2026-01,item19,84.68
2026-01,item7,46.54
2026-01,item7,43.56
2026-01,item16,38.07
2026-01,item3,6.14
2026-01,item3,76.67
2026-01,item14,5.7
2026-01,item7,76.74
2026-01,item20,83.25
2026-01,item6,13.11
2026-01,item11,59.62
2026-01,item17,16.47
2026-01,item11,54.56
2026-01,item16,65.48
2026-01,item18,58.19
2026-01,item18,82.85
2026-01,item14,8.36
2026-01,item9,71.0
2026-01,item18,10.06
2026-01,item11,20.26
2026-01,item12,92.82
2026-01,item15,26.0
2026-01,item14,57.27
2026-01,item13,4.65
2026-01,item10,44.01
2026-01,item1,44.34
2026-01,item9,92.7
2026-01,item6,77.69
2026-01,item8,30.1
2026-01,item13,92.24
2026-01,item8,61.9
2026-01,item3,48.14
2026-01,item6,93.5
2026-01,item14,84.95
2026-01,item6,9.38
2026-01,item9,59.03
2026-01,item6,24.78
2026-01,item15,49.0
2026-01,item18,75.7
2026-01,item4,67.94
2026-01,item7,61.72
2026-01,item5,7.9
2026-01,item15,49.4
2026-01,item6,11.92
2026-01,item18,59.11
2026-01,item19,62.86
2026-01,item2,58.37
2026-01,item1,30.34
2026-01,item3,31.17
2026-01,item2,88.16
2026-01,item5,58.71
2026-01,item17,44.74
2026-01,item5,57.84
2026-01,item10,36.98
2026-01,item9,2.62
2026-01,item4,98.61
2026-01,item10,75.8
2026-01,item3,90.79
2026-01,item17,93.45
2026-01,item2,48.47
2026-01,item8,71.5
2026-01,item15,9.9
2026-01,item10,92.92
2026-01,item10,77.8
2026-01,item20,72.83
2026-01,item20,27.85
2026-01,item1,29.35
2026-01,item2,86.47
2026-01,item14,52.44
2026-01,item6,9.09
2026-01,item7,77.83
2026-01,item15,53.15
2026-01,item19,76.65
2026-01,item11,36.14
2026-01,item7,5.19
2026-01,item4,36.7
2026-01,item9,6.89
